2026-07-16 23:22:35,588 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\book_writer_payload.json
2026-07-16 23:22:35,596 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\fact_checker_payload.json
2026-07-16 23:22:35,617 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-14\test_save_json_and_markdown0\output\sample.json
2026-07-16 23:22:35,618 | INFO | services.workflow_service | Saved markdown output to C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-14\test_save_json_and_markdown0\output\sample.md
2026-07-16 23:31:36,179 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\book_writer_payload.json
2026-07-16 23:31:36,184 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\fact_checker_payload.json
2026-07-16 23:31:36,201 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-15\test_save_json_and_markdown0\output\sample.json
2026-07-16 23:31:36,202 | INFO | services.workflow_service | Saved markdown output to C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-15\test_save_json_and_markdown0\output\sample.md
2026-07-16 23:32:08,960 | INFO | app | AI Multi-Agent Studio started
2026-07-16 23:35:32,770 | INFO | app | AI Multi-Agent Studio started
2026-07-16 23:37:11,802 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\social_content_payload.json
2026-07-16 23:38:41,519 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\social_content_payload.json
